action_item,correct_agent
update status after standup,status_updater
organize sprint 23,sprint_planner
connect related tickets,dependency_mapper
reflect progress in roadmap,roadmap_updater
log decisions from meeting,meeting_note_parser
build epics for Q2 goals,epic_generator
update status after standup,status_updater
adjust product roadmap,roadmap_updater
create tickets from epic,ticket_splitter
push updates to jira,jira_sync_agent
identify top priority tickets,priority_assessor
schedule sprint planning,sprint_planner
change roadmap milestone,roadmap_updater
list task prerequisites,dependency_mapper
split epic into user stories,ticket_splitter
allocate task to developer,assignee_recommender
add tasks to sprint,sprint_planner
initiate epics for product launch,epic_generator
change task status,status_updater
update ticket status,status_updater
prioritize backlog,priority_assessor
push sprint outcome to roadmap,roadmap_updater
analyze sprint dependencies,dependency_mapper
break down epics into tasks,ticket_splitter
list task prerequisites,dependency_mapper
mark task as in progress,status_updater
adjust product roadmap,roadmap_updater
change task status,status_updater
analyze sprint dependencies,dependency_mapper
break down epics into tasks,ticket_splitter
map task blockers,dependency_mapper
mark task as in progress,status_updater
push updates to jira,jira_sync_agent
mark task as in progress,status_updater
push sprint outcome to roadmap,roadmap_updater
generate epic for new feature,epic_generator
recommend assignee,assignee_recommender
change roadmap milestone,roadmap_updater
set task priority,priority_assessor
create tickets from epic,ticket_splitter
organize sprint 23,sprint_planner
change task status,status_updater
push updates to jira,jira_sync_agent
create sprint backlog,sprint_planner
convert epic into subtasks,ticket_splitter
initiate epics for product launch,epic_generator
convert epic into subtasks,ticket_splitter
create tasks from meeting,meeting_note_parser
reorder tasks,priority_assessor
create tasks from meeting,meeting_note_parser
update roadmap,roadmap_updater
log decisions from meeting,meeting_note_parser
push sprint outcome to roadmap,roadmap_updater
decompose epic into smaller tickets,ticket_splitter
initiate epics for product launch,epic_generator
adjust status of stories,status_updater
reorder tasks,priority_assessor
plan next sprint,sprint_planner
update jira board,jira_sync_agent
create epic,epic_generator
update status after standup,status_updater
split epic into user stories,ticket_splitter
break down epics into tasks,ticket_splitter
build epics for Q2 goals,epic_generator
reorder tasks,priority_assessor
initiate epics for product launch,epic_generator
plan next sprint,sprint_planner
reflect progress in roadmap,roadmap_updater
adjust status of stories,status_updater
split epic into user stories,ticket_splitter
extract tasks from notes,meeting_note_parser
create sprint backlog,sprint_planner
convert epic into subtasks,ticket_splitter
adjust product roadmap,roadmap_updater
summarize meeting action items,meeting_note_parser
update status after standup,status_updater
jira sync for tasks,jira_sync_agent
push updates to jira,jira_sync_agent
list task prerequisites,dependency_mapper
log decisions from meeting,meeting_note_parser
find engineer for this task,assignee_recommender
analyze sprint dependencies,dependency_mapper
jira sync for tasks,jira_sync_agent
update jira board,jira_sync_agent
log decisions from meeting,meeting_note_parser
break down epics into tasks,ticket_splitter
mark task as in progress,status_updater
adjust status of stories,status_updater
adjust product roadmap,roadmap_updater
