action_item,correct_agent
Let's create epic now.,epic_generator
Time to start new epic.,epic_generator
Can you start new epic?,epic_generator
add epic for new feature,epic_generator
Please create epic.,epic_generator
Can you create epic?,epic_generator
Time to initiate epic creation.,epic_generator
Can you add epic for new feature?,epic_generator
Please add epic for new feature.,epic_generator
Can you generate epic story?,epic_generator
Let's add epic for new feature now.,epic_generator
Let's create epic now.,epic_generator
Time to add epic for new feature.,epic_generator
Please start new epic.,epic_generator
Let's create epic now.,epic_generator
Let's start new epic now.,epic_generator
Please start new epic.,epic_generator
Time to create epic.,epic_generator
Let's start new epic now.,epic_generator
Please create epic.,epic_generator
add epic for new feature,epic_generator
Time to create epic.,epic_generator
Can you create epic?,epic_generator
initiate epic creation,epic_generator
Time to start new epic.,epic_generator
Let's create epic now.,epic_generator
Can you generate epic story?,epic_generator
Please start new epic.,epic_generator
add epic for new feature,epic_generator
Please add epic for new feature.,epic_generator
Time to create epic.,epic_generator
Please initiate epic creation.,epic_generator
Time to create epic.,epic_generator
Can you add epic for new feature?,epic_generator
Please start new epic.,epic_generator
Let's create epic now.,epic_generator
Can you start new epic?,epic_generator
Can you initiate epic creation?,epic_generator
create epic,epic_generator
Please initiate epic creation.,epic_generator
Please generate epic story.,epic_generator
Time to add epic for new feature.,epic_generator
Can you generate epic story?,epic_generator
Can you initiate epic creation?,epic_generator
Let's start new epic now.,epic_generator
Time to create epic.,epic_generator
Time to start new epic.,epic_generator
Time to start new epic.,epic_generator
Time to start new epic.,epic_generator
Can you add epic for new feature?,epic_generator
Please convert epic to user stories.,ticket_splitter
Please break down epic.,ticket_splitter
Can you break down epic?,ticket_splitter
Let's decompose epic now.,ticket_splitter
generate tickets from epic,ticket_splitter
Time to generate tickets from epic.,ticket_splitter
Time to decompose epic.,ticket_splitter
Time to decompose epic.,ticket_splitter
Time to generate tickets from epic.,ticket_splitter
Let's split epic into tasks now.,ticket_splitter
Let's split epic into tasks now.,ticket_splitter
Time to split epic into tasks.,ticket_splitter
Time to decompose epic.,ticket_splitter
Let's break down epic now.,ticket_splitter
generate tickets from epic,ticket_splitter
split epic into tasks,ticket_splitter
Let's generate tickets from epic now.,ticket_splitter
split epic into tasks,ticket_splitter
Let's break down epic now.,ticket_splitter
break down epic,ticket_splitter
Can you generate tickets from epic?,ticket_splitter
Time to generate tickets from epic.,ticket_splitter
Please generate tickets from epic.,ticket_splitter
decompose epic,ticket_splitter
Time to decompose epic.,ticket_splitter
Please break down epic.,ticket_splitter
Let's split epic into tasks now.,ticket_splitter
split epic into tasks,ticket_splitter
Let's split epic into tasks now.,ticket_splitter
Time to break down epic.,ticket_splitter
split epic into tasks,ticket_splitter
Let's convert epic to user stories now.,ticket_splitter
Time to break down epic.,ticket_splitter
Can you convert epic to user stories?,ticket_splitter
Time to convert epic to user stories.,ticket_splitter
split epic into tasks,ticket_splitter
Please break down epic.,ticket_splitter
Please break down epic.,ticket_splitter
break down epic,ticket_splitter
Please break down epic.,ticket_splitter
Please split epic into tasks.,ticket_splitter
Let's generate tickets from epic now.,ticket_splitter
Can you convert epic to user stories?,ticket_splitter
break down epic,ticket_splitter
decompose epic,ticket_splitter
Please split epic into tasks.,ticket_splitter
Can you decompose epic?,ticket_splitter
Time to generate tickets from epic.,ticket_splitter
Time to convert epic to user stories.,ticket_splitter
Please decompose epic.,ticket_splitter
Time to assign tickets.,assignee_recommender
Please allocate tasks.,assignee_recommender
recommend assignee,assignee_recommender
distribute workload,assignee_recommender
Please allocate tasks.,assignee_recommender
Please allocate tasks.,assignee_recommender
recommend assignee,assignee_recommender
Let's allocate tasks now.,assignee_recommender
Can you recommend assignee?,assignee_recommender
Please pick team members for tasks.,assignee_recommender
allocate tasks,assignee_recommender
Let's assign tickets now.,assignee_recommender
Time to assign tickets.,assignee_recommender
Please distribute workload.,assignee_recommender
Let's distribute workload now.,assignee_recommender
recommend assignee,assignee_recommender
Please pick team members for tasks.,assignee_recommender
Time to recommend assignee.,assignee_recommender
Time to pick team members for tasks.,assignee_recommender
Let's pick team members for tasks now.,assignee_recommender
Let's distribute workload now.,assignee_recommender
Time to distribute workload.,assignee_recommender
Please recommend assignee.,assignee_recommender
Time to recommend assignee.,assignee_recommender
Can you assign tickets?,assignee_recommender
Time to allocate tasks.,assignee_recommender
Time to assign tickets.,assignee_recommender
recommend assignee,assignee_recommender
assign tickets,assignee_recommender
Please assign tickets.,assignee_recommender
Time to distribute workload.,assignee_recommender
Let's recommend assignee now.,assignee_recommender
Let's pick team members for tasks now.,assignee_recommender
pick team members for tasks,assignee_recommender
Please recommend assignee.,assignee_recommender
Please allocate tasks.,assignee_recommender
Can you pick team members for tasks?,assignee_recommender
Let's assign tickets now.,assignee_recommender
Can you pick team members for tasks?,assignee_recommender
Let's assign tickets now.,assignee_recommender
Let's pick team members for tasks now.,assignee_recommender
Time to recommend assignee.,assignee_recommender
Can you pick team members for tasks?,assignee_recommender
allocate tasks,assignee_recommender
Can you assign tickets?,assignee_recommender
Please allocate tasks.,assignee_recommender
Please recommend assignee.,assignee_recommender
pick team members for tasks,assignee_recommender
Let's pick team members for tasks now.,assignee_recommender
Let's distribute workload now.,assignee_recommender
Can you set up sprint board?,sprint_planner
Can you set up sprint board?,sprint_planner
Time to fill sprint backlog.,sprint_planner
Please plan sprint.,sprint_planner
Can you fill sprint backlog?,sprint_planner
Time to plan sprint.,sprint_planner
Let's schedule sprint now.,sprint_planner
Please plan sprint.,sprint_planner
Let's schedule sprint now.,sprint_planner
Can you organize sprint 20?,sprint_planner
Can you fill sprint backlog?,sprint_planner
Can you organize sprint 20?,sprint_planner
schedule sprint,sprint_planner
Please set up sprint board.,sprint_planner
Let's schedule sprint now.,sprint_planner
set up sprint board,sprint_planner
fill sprint backlog,sprint_planner
Please organize sprint 20.,sprint_planner
fill sprint backlog,sprint_planner
set up sprint board,sprint_planner
plan sprint,sprint_planner
Let's plan sprint now.,sprint_planner
Please organize sprint 20.,sprint_planner
Can you organize sprint 20?,sprint_planner
Please plan sprint.,sprint_planner
Can you fill sprint backlog?,sprint_planner
Time to plan sprint.,sprint_planner
Let's plan sprint now.,sprint_planner
Can you organize sprint 20?,sprint_planner
Time to fill sprint backlog.,sprint_planner
Let's set up sprint board now.,sprint_planner
Time to schedule sprint.,sprint_planner
Please organize sprint 20.,sprint_planner
Time to organize sprint 20.,sprint_planner
Please schedule sprint.,sprint_planner
Can you plan sprint?,sprint_planner
Please schedule sprint.,sprint_planner
Can you plan sprint?,sprint_planner
plan sprint,sprint_planner
Let's organize sprint 20 now.,sprint_planner
Let's fill sprint backlog now.,sprint_planner
Please schedule sprint.,sprint_planner
Let's organize sprint 20 now.,sprint_planner
Let's plan sprint now.,sprint_planner
Let's set up sprint board now.,sprint_planner
Time to set up sprint board.,sprint_planner
plan sprint,sprint_planner
Let's fill sprint backlog now.,sprint_planner
Let's set up sprint board now.,sprint_planner
Can you plan sprint?,sprint_planner
Time to connect tasks to jira.,jira_sync_agent
Please sync to jira.,jira_sync_agent
Please send backlog to jira.,jira_sync_agent
update jira,jira_sync_agent
sync to jira,jira_sync_agent
Time to sync to jira.,jira_sync_agent
Please push tickets to jira.,jira_sync_agent
Can you send backlog to jira?,jira_sync_agent
Can you send backlog to jira?,jira_sync_agent
Please connect tasks to jira.,jira_sync_agent
Can you send backlog to jira?,jira_sync_agent
Let's update jira now.,jira_sync_agent
Let's connect tasks to jira now.,jira_sync_agent
Can you connect tasks to jira?,jira_sync_agent
Time to update jira.,jira_sync_agent
Please push tickets to jira.,jira_sync_agent
Let's update jira now.,jira_sync_agent
Please update jira.,jira_sync_agent
Time to push tickets to jira.,jira_sync_agent
Let's push tickets to jira now.,jira_sync_agent
push tickets to jira,jira_sync_agent
Please update jira.,jira_sync_agent
Let's connect tasks to jira now.,jira_sync_agent
Let's push tickets to jira now.,jira_sync_agent
